eo,en
adreso,address
laboro,work
metio,profession
rilato,relationship
solinfano,
"civita stato","marital status"
gefratoj,leisure
amiko,friend
kondukpermesilo,"driver license"
"naskiĝtago",birthday
"naskiĝtago",birthday
gefratoj,sibling
dorlotbesto,pet
jaro,year
"familia nomo",surname
antaŭnomo,firstname
vidvo,widower
"familia nomo",surname
labori,work
naski,bear
"loĝi ",live
naskita,born
"eksedz(in)iĝinta,",divorced
juna;,young
fraŭla,unmarried
volonte,gladly
nuntempe,currently
depost,since
kiu,which
