vojkruciĝo,,(Straßen-)Kreuzung,,cross roads,skrzyżowanie (dróg),o,1
signo,s,"(Vor-)Zeichen,",,"signal, character,",znak,o,1
akso,s,Achse,,axis,oś,o,1
ekskurso,r,Ausflug,,excursion,wycieczka,o,1
eldiro,e,Aussage,,statement,wypowiedź,o,1
diro,,Äußerung,,statement; saying,mówienie,o,1
stacio,r,Bahnhof,,station,stacja,o,1
ponto,e,Brücke,,bridge,most,o,1
kafejo,s,Café,,café,kawiarnia,o,1
ĉefo,,"Chef, oberhaupt",,"boss, chief",szef,o,1
monumento,,Denkmal,,monument,zabytek,o,1
katedralo,r,Dom,,cathedral,katedra,o,1
pulo,e,Floh,,flea,pchła,o,1
furoro,,Furore; Aufsehen; Riesenerfolg,,"fad, craze",furora,o,1
galerio,e,Galerie,,gallery,galeria,o,1
ĉefurbo,,Hauptstadt,,capital city,stolica,o,1
furoraĵo,r,Hit,,hit,hit,o,1
coffee,,Kaffee,,kafo,kawa,o,1
kalendaro,,Kalender,,calendar,kalendarz,o,1
kanceliero,,Kanzler,,chancellor,kanclerz,o,1
kruco,e,Kreuz,,cross,krzyż,o,1
kupolo,e,Kuppel,,cupola,kopuła,o,1
foiro,r,Markt; Messe,,market; fair,targ,o,1
muro,s,Mauer,,wall,mur,o,1
nacio,,Nation; Volk; Staatsvolk,,nation,naród,o,1
parko,r,Park,,park,park,o,1
placo,r,Platz,,place,plac,o,1
pordisto,,"Portier, Hausmeister",,porter,portier,o,1
programo,s,Programm,,programme,program,o,1
promenejo,,Promenade; Foyer,,promenade,deptak,o,1
promenanto,,promenanto,,stroller,spacerowicz,o,1
riĉeco,,Reichtum,,wealth,bogactwo,o,1
registaro,e,Reihe,,government,rząd,o,1
promenado,r,Spaziergang,,"walk, stroll",spacer,o,1
ŝtato,r,Staat,,state,państwo,o,1
urbo,e,Stadt,,city,miasto,o,1
strato,,Straße,,street,ulica,o,1
stratkruciĝo,,Straßenkreuzung,,intersection,skrzyżowanie ulic,o,1
tago,r,Tag,,day,dzień,o,1
teatro,s,Theater,,theatre,teatr,o,1
pordego,,Tor,,"portal, gateway",brama,o,1
vojaĝo,,"Tour, Reise",,"trip, voyage, journey",podróż,o,1
tradicio,e,Tradition,,tradition,tradycja,o,1
pordo,,Tür,,"door, gate","drzwi, furta; ",o,1
turo,r,Turm,,tower,wieża,o,1
pordoriglilo,,Türriegel,,door lock,zamek,o,1
universitato,e,Universität,,university,uniwersytet,o,1
trafiko,,Verkehr,,(on roads) traffic,"ruch drogowy, ",o,1
trafiksigno,s,Verkehrszeichen,,traffic sign,znak drogowy,o,1
kvartalo,s,Viertel,,district,dzielnica,o,1
vojo,,"Weg, Bahn",,way,droga,o,1
centro,s,Zentrum,,centre,centrum,o,1
viziti,,besuchen,,to visit,zwiedzać,i,2
vagi,,bummeln,,to roam; to wander,bumelować,i,2
turni,,drehen,,to turn around ,kręcić się,i,2
kruci,,kreuzen,,to cross,krzyżować,i,2
parki,,parken,,to park,parkować,i,2
regi,,regieren,,to govern,"panować, rządzić,",i,2
vojaĝi,,reisen,,"to travel, to journey",podróżować,i,2
diri,,sagen,,(tr) to say; to tell,powiedzieć,i,2
promeni,,spazieren; promenieren,,to go for a walk; to stroll,spacerować,i,2
rigli,,"verriegeln, zuriegeln",,to fasten; to bolt ,ryglować,i,2
olda,,alt,,old,stary,a,3
sekvanta,,folgend,,following,następujący,a,3
sekva,,folgend,,next,następny,a,3
frua,,früh,,early,wczesny,a,3
ĉefa,,hauptsächlich,,chief,naczelny,a,3
parola,,mündlich,,oral,ustny,a,3
riĉa ,,reich,,wealthy,bogaty,a,3
inda,,wert,,worthy; deserving,warty,a,3
sekve,,folglich,,therefore,zatem,e,4
ĉefe,,hauptsächlich,,chiefly,głównie,e,4
parole,,mündlich,,orally,ustnie,e,4
frue,,"zeitig, früh",,early,wcześnie,e,4
