adreso,Adresse
aero,Luft
amiko,Freund
antaŭnomo,Vorname
bileto,Ticket
"civita stato",Familienstand
dorlotbesto,Haustier
"familia nomo",Nachname
"familia nomo",Zuname
futuro,"Zukunft; Gram Futur"
gefratoj,Freizeit
gefratoj,Geschwister
"helpo,",Hielfe
jaro,Jahr
kondukpermesilo,Führerschein
laboro,Arbeit
metio,Beruf
"naskiĝtago",Geburtsdatum
"naskiĝtago",Geburtstag
plano,Plan
rilato,Beziehung
solinfano,Einzelkind
tempo,Zeit
vidvo,Witwer
ilaro,Gerät
membro,Mitglied
labori,arbeiten
"loĝi ",wohnen
naski,gebären
trovi,finden
pensi,denken
voki,rufen
renkonti,treffen
paroli,sprechen
telefoni,telefonieren
informi,informieren
gvidi,leiten
kontroli,kontrollieren
konsili,beraten
"eksedz(in)iĝinta,",geschieden
elasta,"elastisch, federnd, dehnbar"
fraŭla,ledig
juna;,jung
naskita,geboren
foje,manchmal
kelkfoje,manchmal
malmulte,wenig
nuntempe,zurzeit
volonte,gern
