adreso,Adresse
laboro,Arbeit
metio,Beruf
rilato,Beziehung
solinfano,Einzelkind
"civita stato",Familienstand
gefratoj,Freizeit
amiko,Freund
kondukpermesilo,Führerschein
"naskiĝtago",Geburtsdatum
"naskiĝtago",Geburtstag
gefratoj,Geschwister
dorlotbesto,Haustier
jaro,Jahr
"familia nomo",Nachname
antaŭnomo,Vorname
vidvo,Witwer
"familia nomo",Zuname
labori,arbeiten
naski,gebären
"loĝi ",wohnen
naskita,geboren
"eksedz(in)iĝinta,",geschieden
juna;,jung
fraŭla,ledig
volonte,gern
nuntempe,zurzeit
depost,seit
kiu,welche
