ĉia , jederlei (Eigenschaft)
ĉial , aus jedem Grunde
ĉiam , immer
ĉie , überall
ĉiel , auf jede Weise
ĉies , jedermanns
ĉio , alles
ĉiom , alles zusammen (in jeder Menge)
ĉiu , jeder
ia , irgendein(e) (eine unbestimmte Eigenschaft)
ial , aus irgendeinem Grund
iam , irgendwann
ie , irgendwo
iel , irgendwie
ies , irgendjemandes
io , irgendetwas
iom , etwas (quantitativ); oft: ein wenig
iu , irgendjemand
kia , was für ein(e) (Frage nach einer Eigenschaft)
kial , warum
kiam , wann
kie , wo
kiel , wie; auf welche Art und Weise (Fragt nah einem Adverb)
kies , wessen
kio , was
kiom , wieviel
kiu , wer; welcher; derjenige
nenia , keinerlei
nenial , aus keinem Grunde
neniam , niemals
nenie , nirgendwo
neniel , auf keine Weise
nenies , niemandes
nenio , nichts
neniom , gar nichts (in keiner Menge)
neniu , niemand
tia , so (geartet) (Weist auf eine Eigenschaft hin.)
tial , deswegen; darum
tiam , dann
tie , dort
tiel , so (Weist hin auf die Art und Weise.)
ties , dessen
tio , das (hinweisend); dasjenige
tiom , soviel
tiu , jener(e/s)
