aŭ,or
jen,here is
kaj,and
ke,that
kvankam,although
sed,but
tamen,however
almenaŭ,at least
ankaŭ,too; also
ankoraŭ,still; yet
apenaŭ,barely; hardly
baldaŭ,soon
for,away
hieraŭ,yesterday
hodiaŭ,today
ĵus,just; just now
kvazaŭ,as though; as if
morgaŭ,tomorrow
nun,now
nur,exclusively; just; only
plu,more; further
preskaŭ,nearly; almost
tamen,nevertheless; but; yet; however
tre,very; very much
tro,too much
tuj,right away; immediatelyrajti,may
devi,"ought to"
devi,must
povi,can
voli,want
"ŝati",like
al,to
anstataŭ,instead of
antaŭ,before; in front of
apud,beside
ĉe,at; near; beside
ĉirkaŭ,around
da,of (following expression of quantity or weight)
de,of (possession)
dum,while
ekster,outside of
el,from
en,in; inside
ĝis,until
inter,between; among
je,at; on
kontraŭ,against
krom,aside from
kun,with
laŭ,according to
malantaŭ,behind
malgraŭ,in spite of
per,by means of
po,at the rate of
por,for
post,after
preter,past; beyond
pri,about
pro,because of
sen,without
sub,under
super,over
sur,on
tra,through
trans,across
